Date,Close,High,Low,Open,Volume
2004-08-19,2.487351655960083,2.579566719149819,2.3787748912649933,2.4789224763851214,897427216
2004-08-20,2.684921979904175,2.704009486479198,2.491318025747808,2.5039601352021816,458857488
2004-08-23,2.711942195892334,2.8130821633227225,2.7032662285205014,2.745407624547281,366857939
2004-08-24,2.599646806716919,2.7664777540372483,2.5674205332546642,2.757554051725721,306396159
2004-08-25,2.6276583671569824,2.677237525366846,2.5751051950679495,2.6018774896414363,184645512
2004-08-26,2.6750059127807617,2.6759973298039843,2.5944405843804548,2.601629425624718,142572401
2004-08-27,2.6313765048980713,2.6926063496838117,2.619973548836893,2.6797155563041257,124826132
2004-08-30,2.528749465942383,2.615016031020584,2.528749465942383,2.6098095495015827,104429967
2004-08-31,2.5376734733581543,2.5708909260057577,2.532467940877796,2.5359386122575525,98825037
2004-09-01,2.4851205348968506,2.5525471007392806,2.470742614134151,2.5458539675506437,183633734
2004-09-02,2.5163543224334717,2.537673346259747,2.4526459357231274,2.4588435967758047,303810504
2004-09-03,2.479170560836792,2.5220565866735667,2.462066599345892,2.5024733706195215,103538639
2004-09-07,2.518090009689331,2.5285017864853403,2.4692554852394304,2.5039600632231833,117506800
2004-09-08,2.5359387397766113,2.554035067097877,2.491318091041826,2.497266830628467,100186120
2004-09-09,2.5361862182617188,2.546101336921732,2.503712211375315,2.541639486065801,81620792
2004-09-10,2.6110498905181885,2.6415405924518396,2.511149078618978,2.518585893064906,174804764
2004-09-13,2.664842128753662,2.6874003069750665,2.63906125194578,2.6432753675629845,157628624
2004-09-14,2.763751745223999,2.776393854724069,2.6472414983609216,2.663602964124677,217608605
2004-09-15,2.7763938903808594,2.831674051559623,2.731773242081179,2.7406978937893407,215279909
2004-09-16,2.825228452682495,2.870592545686432,2.767717958382383,2.784821919525389,186207345
2004-09-17,2.912487030029297,2.912487030029297,2.814816793152948,2.8363835538806077,190350817
2004-09-20,2.9588425159454346,3.0143704106651588,2.8946386546322223,2.899100505730558,213585582
2004-09-21,2.9211630821228027,2.985119210182616,2.9129828237297737,2.969997846047282,145262446
2004-09-22,2.9345486164093018,2.966527154816004,2.895629921485003,2.910255814298576,152344894
2004-09-23,2.995035171508789,3.039903553786391,2.9008353693781435,2.945952673732343,171524515
2004-09-24,2.9704935550689697,3.0763431040342137,2.9687586938987334,2.9980090559573203,183336625
2004-09-27,2.931574821472168,2.9965221284358665,2.9201718646150603,2.9638001461083237,141994242
2004-09-28,3.144761800765991,3.1581473535684914,2.9799136956623493,3.0069337233345697,340190355
2004-09-29,3.2493724822998047,3.347041767344324,3.1291447828363608,3.1407957120906054,613229953
2004-09-30,3.212684392929077,3.2796154858654796,3.197810763988842,3.2201212073991945,276468402
2004-10-01,3.2865564823150635,3.3277064588544305,3.1953314029908992,3.242431305497455,303934969
2004-10-04,3.3480331897735596,3.3929018116769245,3.322500285261268,3.352743963197147,261693228
2004-10-05,3.4300856590270996,3.4340518018486925,3.278128333238269,3.338118319743066,300887589
2004-10-06,3.3981077671051025,3.4320689001623843,3.3713357122008376,3.409758696212409,268900140
2004-10-07,3.4419844150543213,3.467517557625711,3.38496939011245,3.394142015144718,283643194
2004-10-08,3.4142208099365234,3.4625598657255416,3.3966201911814218,3.4387625344890353,222442656
2004-10-11,3.3529915809631348,3.4422331131060266,3.318038317305457,3.3961243909740135,210437827
2004-10-12,3.406040668487549,3.411245964101464,3.3068832990034016,3.3326641771021346,234419380
2004-10-13,3.492802381515503,3.5584943164445595,3.4724757230629733,3.5527921263603397,397203256
2004-10-14,3.5200703144073486,3.529490674583203,3.434796347495464,3.49552953934937,209835578
2004-10-15,3.572375535964966,3.606833326833591,3.5188309513374807,3.5927031433567604,265150137
2004-10-18,3.697561502456665,3.6985526821354027,3.5004868866391554,3.549817355845223,282061287
2004-10-19,3.667318820953369,3.777879137342344,3.6526931661185595,3.7307792371038944,363918964
